Target; Path; Correct; Reason
<com.github.yeriomin.workoutlog.Activity.AddExerciseActivity: com.github.yeriomin.workoutlog.Model.Exercise getLastExercise(java.lang.String)>:9;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{'item_exercise_header:list_footer:onClick': True},com.github.yeriomin.workoutlog.Activity.AddExerciseActivity{'activity_add_exercise:name:onItemClick': True}; ;
<com.github.yeriomin.workoutlog.Activity.AddExerciseActivity: java.util.List getTodayExercises(java.lang.Long)>:25;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{'item_exercise_header:list_footer:onClick': True},com.github.yeriomin.workoutlog.Activity.AddExerciseActivity{'activity_add_exercise:name:onItemClick': True}; ;
<com.github.yeriomin.workoutlog.Activity.AddExerciseActivity: java.util.List getTodayExercises(java.lang.Long)>:34;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{'item_exercise_header:list_footer:onClick': True},com.github.yeriomin.workoutlog.Activity.AddExerciseActivity{'activity_add_exercise:name:onItemClick': True}; ;
<com.github.yeriomin.workoutlog.Activity.AddExerciseActivity: void addExercise(android.view.View)>:11;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{'item_exercise_header:list_footer:onClick': True},com.github.yeriomin.workoutlog.Activity.AddExerciseActivity{'activity_add_exercise:button_add:onClick': True}; ;
<com.github.yeriomin.workoutlog.Activity.AddExerciseActivity: void addExercise(android.view.View)>:22;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{'item_exercise_header:list_footer:onClick': True},com.github.yeriomin.workoutlog.Activity.AddExerciseActivity{'activity_add_exercise:button_add:onClick': True, 'activity_add_exercise:reps': ''}; ;
<com.github.yeriomin.workoutlog.Activity.AddExerciseActivity: void addExercise(android.view.View)>:27;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{'item_exercise_header:list_footer:onClick': True},com.github.yeriomin.workoutlog.Activity.AddExerciseActivity{'activity_add_exercise:weight': ' ', 'activity_add_exercise:button_add:onClick': True}; ;
<com.github.yeriomin.workoutlog.Activity.AddExerciseActivity: void saveExercise(com.github.yeriomin.workoutlog.Model.Exercise,com.github.yeriomin.workoutlog.Model.ExerciseType)>:30;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{'item_exercise_header:list_footer:onClick': True},com.github.yeriomin.workoutlog.Activity.AddExerciseActivity{'activity_add_exercise:button_add:onClick': True}; ;
<com.github.yeriomin.workoutlog.Activity.ExerciseListActivity: void onPause()>:0;com.github.yeriomin.workoutlog.Activity.ExerciseListActivity{}; ;
<com.github.yeriomin.workoutlog.Adapter.ExerciseAdapter: android.view.View getGroupView(int,boolean,android.view.View,android.view.ViewGroup)>:7;No Constraint; ;
<com.github.yeriomin.workoutlog.Adapter.ExerciseAdapter: void <init>(android.content.Context,java.util.List)>:55;com.github.yeriomin.workoutlog.Adapter.ExerciseAdapter{}; ;
<com.github.yeriomin.workoutlog.Model.Exercise: com.github.yeriomin.workoutlog.Model.ExerciseType getExerciseType()>:10;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: com.github.yeriomin.workoutlog.Model.Exercise readEntity(android.database.Cursor,int)>:16;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: com.github.yeriomin.workoutlog.Model.Exercise readEntity(android.database.Cursor,int)>:19;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: java.lang.Object readEntity(android.database.Cursor,int)>:0;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: java.util.List loadDeepAllAndCloseCursor(android.database.Cursor)>:2;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: void bindValues(android.database.sqlite.SQLiteStatement,com.github.yeriomin.workoutlog.Model.Exercise)>:9;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: void bindValues(android.database.sqlite.SQLiteStatement,java.lang.Object)>:1;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: void dropTable(android.database.sqlite.SQLiteDatabase,boolean)>:7;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: void dropTable(android.database.sqlite.SQLiteDatabase,boolean)>:8;No Constraint; ;
<com.github.yeriomin.workoutlog.Model.ExerciseDao: void readEntity(android.database.Cursor,com.github.yeriomin.workoutlog.Model.Exercise,int)>:8;No Constraint; ;
