filename;filesize;bodies;analyzedBodies;units;targets;time
com.uberspot.a2048_25.apk;878975;94;80;860;534;6312
com.achep.acdisplay_76.apk;3124418;15274;15236;177255;106254;41841
org.pocketworkstation.pckeyboard_1041001.apk;2837713;10617;10509;138722;83570;39371
cz.romario.opensudoku_1105.apk;225119;705;695;9466;6512;4160
com.menny.android.anysoftkeyboard_6279.apk;9877358;10523;10525;162347;102603;47015
com.vrem.wifianalyzer_54.apk;2416100;14468;14473;185261;110941;31251
com.anysoftkeyboard.languagepack.spain_168.apk;1632374;23;5;16;4;2303
com.google.android.apps.authenticator2_21.apk;709849;455;442;4925;3007;2795
de.j4velin.systemappmover_172.apk;1152636;9850;9824;102858;59047;16632
io.anuke.mindustry_104.apk;39373681;35245;35240;489830;317607;178762
com.eolwral.osmonitor_90.apk;2430540;12142;12111;127150;73936;21004
org.isoron.uhabits_51.apk;3546595;24056;24000;300211;179190;44954
org.connectbot_10906000.apk;6115482;14771;14741;237464;155286;289990
com.android2.calculator3_93.apk;2774563;19447;19364;248367;153550;59713
dk.nindroid.rss_119.apk;1088290;4743;4733;60697;38909;12347
com.android.keepass_197.apk;6067020;45218;44954;666478;446564;297540
com.manor.currentwidget_46.apk;568548;6315;6285;65278;37825;15004
com.zola.bmi_402.apk;1295395;9705;9512;122560;72030;23296
de.szalkowski.activitylauncher_17.apk;346648;1574;1575;21064;12618;6215
net.nurik.roman.muzei_320010.apk;4888825;22909;22889;322692;197944;69056
com.termux_102.apk;72859231;1403;1403;27009;17556;37303
genius.mohammad.floating.stickies_28.apk;323202;240;224;3312;2204;2906
com.google.zxing.client.android_108.apk;771339;2403;2390;61780;46272;201360
org.xbmc.kore_27.apk;3836331;21270;21246;302441;185468;58524
org.kiwix.kiwixmobile_230301.apk;48804467;20527;20505;319350;201236;75982
de.schildbach.wallet_427.apk;2939602;27260;27260;365116;234306;111469
com.darshancomputing.BatteryIndicator_26010.apk;1498735;1923;1923;28157;17671;9245
ru.meefik.busybox_46.apk;6155220;8412;8413;119006;71307;26629
org.wahtod.wififixer_1165.apk;1338519;6777;6777;99278;63028;25317
com.shatteredpixel.shatteredpixeldungeon_490.apk;8306941;8388;8388;175483;128960;64279
at.tomtasche.reader_34.apk;1072219;8466;8416;89713;52714;14280
com.mattgmg.miracastwidget_9.apk;286240;3424;3416;35293;20151;7174
com.midisheetmusic_8.apk;739309;563;555;14965;11391;6703
ee.smkv.calc.loan_52.apk;808430;4890;4865;55902;33757;12551
com.limelight_247.apk;5474191;14974;14974;286089;211051;177243
org.wikipedia_50334.apk;9302957;39221;39177;490637;298211;87647
ru.gelin.android.sendtosd_41.apk;61197;370;360;3883;2440;2396
org.adw.launcher_34.apk;1192926;2123;2107;36867;24700;9218
com.google.android.gms_20187.apk;1734619;14488;14379;160630;92937;23161
org.jfedor.frozenbubble_54.apk;8804914;892;881;18551;13203;10418
ch.protonvpn.android_102040100.apk;40357177;48575;47888;620448;381237;151102
jackpal.androidterm_72.apk;568339;994;977;15668;10540;6241
com.intervigil.micdroid_34.apk;612402;466;448;4767;3020;2671
org.chrisbailey.todo_10.apk;206080;293;282;3737;2516;2500
net.bitplane.android.microphone_7.apk;29755;39;31;430;295;2285
com.ichi2.anki_21300305.apk;15003162;48079;47756;609391;372745;178406
org.videolan.vlc_13021208.apk;29290584;29838;29749;441981;271089;102907
